zipcode,order,sigma2
02111,"(4, 0, 3)",0.00012136552007361341
02113,"(2, 0, 2)",0.00020739443993542176
02114,"(1, 0, 2)",8.429491428046276e-05
02115,"(1, 0, 2)",5.838120008052379e-05
02116,"(1, 0, 3)",7.63938076387013e-05
02118,"(2, 0, 3)",7.679949591567096e-05
02125,"(1, 0, 2)",0.00015233859515977974
02127,"(1, 0, 3)",6.487531646481446e-05
02128,"(2, 0, 3)",0.00010222285211099736
02129,"(1, 0, 2)",0.00013484390723036234
02130,"(2, 0, 2)",0.0001032225144015705
02134,"(0, 0, 4)",6.594455362864642e-05
02135,"(2, 0, 2)",4.5399883839017074e-05
02138,"(2, 0, 2)",7.416912578890074e-05
02139,"(1, 0, 2)",0.00010775578549134494
02140,"(1, 0, 4)",0.00011011242183843364
02141,"(0, 0, 3)",0.00018606002925312872
02143,"(3, 0, 0)",0.00012840916561144682
02144,"(2, 0, 2)",0.00012828508268461033
02145,"(4, 0, 4)",9.875117446747641e-05
02148,"(2, 0, 2)",7.242963245194571e-05
02155,"(3, 0, 4)",5.710978079286369e-05
02169,"(2, 0, 4)",4.5552353989665834e-05
02215,"(0, 0, 3)",5.0276505524223554e-05
02445,"(1, 0, 0)",0.00021507250862728253
02446,"(2, 0, 3)",4.905763613308545e-05
02453,"(3, 0, 2)",0.00012195510261893476
02472,"(1, 0, 3)",7.171272066922049e-05
02840,"(2, 0, 2)",0.0003781533908332608
02906,"(1, 0, 2)",7.136980313387123e-05
06460,"(1, 0, 3)",9.270733134152643e-05
06511,"(2, 0, 2)",7.902759589475294e-05
06902,"(2, 0, 2)",7.671330939373053e-05
07002,"(0, 0, 3)",6.664367322534924e-05
07024,"(1, 0, 3)",8.038887290752522e-05
07030,"(0, 0, 2)",2.3610555931581612e-05
07047,"(0, 0, 0)",0.00014869479808939047
07087,"(0, 0, 0)",8.609062890141032e-05
07093,"(2, 0, 2)",3.2624367562059414e-05
07302,"(2, 0, 2)",3.3977492111575756e-05
07305,"(2, 0, 2)",5.941188422230486e-05
07306,"(1, 0, 2)",4.9184197815247766e-05
07307,"(0, 0, 3)",6.221203239191647e-05
08540,"(3, 0, 4)",4.5929640397059824e-05
10001,"(2, 0, 4)",5.0563684024851196e-05
10002,"(2, 0, 2)",3.662460834221272e-05
10003,"(2, 0, 2)",3.567649300768412e-05
10005,"(1, 0, 4)",9.004402623734763e-05
10006,"(0, 0, 2)",0.0001336028415167801
10010,"(2, 0, 4)",4.746633281173075e-05
10011,"(2, 0, 2)",2.9721248449191584e-05
10012,"(2, 0, 2)",6.418083251160617e-05
10013,"(0, 0, 2)",6.881477371745277e-05
10014,"(2, 0, 2)",3.840458058629933e-05
10017,"(2, 0, 2)",4.1205579026045795e-05
10018,"(1, 0, 2)",0.00011327610316996529
10019,"(1, 0, 3)",3.595733146552213e-05
10021,"(2, 0, 3)",4.399193167955291e-05
10022,"(1, 0, 0)",4.893458954139113e-05
10023,"(2, 0, 2)",3.434462066497811e-05
10024,"(2, 0, 2)",3.523829196763721e-05
10025,"(3, 0, 0)",3.2888883009287204e-05
10026,"(2, 0, 2)",7.56052212972506e-05
10027,"(1, 0, 2)",6.90576612522115e-05
10028,"(3, 0, 4)",2.2328758833006103e-05
10029,"(1, 0, 0)",7.65071708146449e-05
10030,"(2, 0, 2)",9.077127309877728e-05
10031,"(2, 0, 2)",6.167264239622716e-05
10032,"(1, 0, 2)",6.360991604679652e-05
10033,"(3, 0, 3)",4.856307518698203e-05
10035,"(1, 0, 2)",7.454925083514592e-05
10036,"(2, 0, 4)",4.6592596278471264e-05
10038,"(2, 0, 2)",9.47026103389856e-05
10040,"(3, 0, 0)",8.59872437448972e-05
10065,"(1, 0, 0)",6.334055894795963e-05
10075,"(1, 0, 4)",4.924760184774297e-05
10128,"(2, 0, 4)",2.156017066757453e-05
10458,"(0, 0, 4)",0.00012580091326684664
10461,"(0, 0, 4)",0.00013160836211868838
10462,"(3, 0, 3)",0.00012906023619333845
10463,"(0, 0, 3)",8.234837647456049e-05
10467,"(0, 0, 4)",0.0001584036403765526
11101,"(2, 0, 2)",7.735315399023807e-05
11102,"(3, 0, 3)",6.278162620629336e-05
11103,"(2, 0, 2)",0.00010264569576532286
11105,"(4, 0, 2)",9.45871600824574e-05
11106,"(2, 0, 2)",8.36970695169151e-05
11109,"(1, 0, 3)",0.0001625124884149636
11201,"(1, 0, 3)",3.486204332960994e-05
11205,"(1, 0, 2)",7.785058401854771e-05
11206,"(1, 0, 3)",6.150517451616695e-05
11207,"(1, 0, 2)",9.835950072039975e-05
11209,"(2, 0, 3)",7.690482760851452e-05
11211,"(1, 0, 3)",3.9564593604523835e-05
11213,"(2, 0, 2)",7.904783997245745e-05
11214,"(0, 0, 3)",0.0001476300466736851
11215,"(2, 0, 2)",3.0448483546265004e-05
11216,"(1, 0, 3)",5.010691230259209e-05
11217,"(0, 0, 2)",4.760792031408288e-05
11218,"(3, 0, 2)",5.7126279046919294e-05
11220,"(0, 0, 3)",0.0001403226232495196
11221,"(0, 0, 2)",4.2434813789477856e-05
11222,"(2, 0, 2)",7.99067139208325e-05
11225,"(0, 0, 2)",5.301454069323022e-05
11226,"(2, 0, 2)",3.921581723086735e-05
11228,"(3, 0, 0)",0.00045480497817597604
11229,"(0, 0, 4)",0.00021178557616917488
11230,"(0, 0, 4)",8.417774109795654e-05
11231,"(0, 0, 3)",5.84383521274489e-05
11233,"(3, 0, 4)",7.212006330645686e-05
11235,"(3, 0, 2)",8.867399637815432e-05
11237,"(0, 0, 2)",7.532660989930714e-05
11238,"(1, 0, 4)",4.077713398094046e-05
11249,"(1, 0, 2)",6.543738764827714e-05
11354,"(0, 0, 4)",8.822231469576924e-05
11355,"(0, 0, 3)",0.00022316143275303101
11374,"(1, 0, 2)",6.618943269615174e-05
11375,"(0, 0, 3)",5.600259594315185e-05
11385,"(1, 0, 2)",4.569140392733868e-05
11561,"(2, 0, 2)",0.0003680567912444051
15203,"(0, 0, 3)",7.11321630361715e-05
19103,"(1, 0, 2)",3.923162288469141e-05
19104,"(3, 0, 0)",6.65376816951953e-05
19106,"(0, 0, 4)",3.613243633683986e-05
19107,"(3, 0, 3)",4.7797474456764624e-05
19121,"(3, 0, 3)",7.784155624044485e-05
19123,"(0, 0, 3)",3.399082432489122e-05
19125,"(0, 0, 4)",4.1513344326583434e-05
19127,"(1, 0, 3)",7.430790162942262e-05
19128,"(1, 0, 2)",5.526796050302234e-05
19130,"(1, 0, 2)",3.891690890734616e-05
19139,"(0, 0, 0)",0.00013638352717086757
19145,"(1, 0, 4)",4.6147483683421213e-05
19146,"(1, 0, 2)",4.0038013342795725e-05
19147,"(1, 0, 3)",2.392595686218169e-05
19148,"(3, 0, 0)",8.600881043683114e-05
20001,"(4, 0, 3)",6.110389941853832e-05
20002,"(0, 0, 4)",7.068920774622688e-05
20003,"(3, 0, 2)",8.68467428677923e-05
20005,"(1, 0, 2)",6.812540171473656e-05
20009,"(1, 0, 2)",2.8388233602573405e-05
20147,"(1, 0, 2)",5.584354828974791e-05
20170,"(0, 0, 3)",5.205169918836155e-05
20171,"(1, 0, 2)",3.186520702915925e-05
20190,"(1, 0, 2)",4.606067450165112e-05
20814,"(2, 0, 2)",8.191359695919068e-05
20850,"(0, 0, 3)",4.0671453765227125e-05
20852,"(1, 0, 2)",3.0974109235973814e-05
20874,"(3, 0, 2)",4.284446105383352e-05
20878,"(1, 0, 0)",5.7960369810314764e-05
20902,"(2, 0, 2)",7.783785506378748e-05
20906,"(0, 0, 3)",6.104160282107766e-05
21045,"(3, 0, 2)",5.8432542901111523e-05
21113,"(1, 0, 2)",3.341004548248604e-05
21217,"(1, 0, 0)",0.00015286458153632913
21218,"(1, 0, 3)",8.811238405039947e-05
21224,"(0, 0, 4)",7.493815365259581e-05
21230,"(1, 0, 2)",7.636460877274215e-05
21231,"(0, 0, 3)",0.00012287750026217164
21701,"(2, 0, 2)",7.278340706873871e-05
21703,"(2, 0, 2)",7.240453697172653e-05
22030,"(1, 0, 2)",4.0241254009514746e-05
22033,"(0, 0, 3)",3.6080740259172706e-05
22102,"(0, 0, 3)",4.820109416268606e-05
22191,"(1, 0, 2)",3.233209913615326e-05
22192,"(1, 0, 2)",2.5648049221681685e-05
22193,"(0, 0, 0)",0.00013478692720534207
22201,"(0, 0, 2)",5.398818803665692e-05
22202,"(2, 0, 2)",9.115790340185713e-05
22203,"(2, 0, 4)",0.0001239218149346001
22204,"(1, 0, 2)",3.138366169203031e-05
22206,"(1, 0, 2)",3.48603210934114e-05
22209,"(1, 0, 2)",6.417807087934363e-05
22310,"(0, 0, 3)",0.00014852969014215553
22315,"(0, 0, 0)",0.0007304088005814605
22554,"(2, 0, 2)",8.15756583308057e-05
22903,"(2, 0, 3)",0.00010972935953437388
23185,"(3, 0, 2)",9.40170615255861e-05
23220,"(3, 0, 2)",5.513688665437016e-05
23223,"(0, 0, 3)",5.170472557191999e-05
23320,"(1, 0, 0)",4.533759496172917e-05
23451,"(1, 0, 2)",7.590197678858263e-05
23452,"(2, 0, 2)",4.7460893197136096e-05
23454,"(0, 0, 3)",6.024231010281094e-05
23462,"(2, 0, 2)",2.5928267874817217e-05
23503,"(3, 0, 2)",8.78793759673438e-05
23518,"(0, 0, 3)",0.00016116381739774964
23602,"(1, 0, 2)",4.4295497221920614e-05
23608,"(1, 0, 2)",6.208967560333064e-05
23666,"(0, 0, 2)",5.0055489150726015e-05
27127,"(0, 0, 3)",6.872453971810548e-05
27265,"(0, 0, 3)",5.410420252133549e-05
27405,"(0, 0, 3)",0.00011981996366566125
27406,"(1, 0, 3)",0.00013033970527602832
27502,"(1, 0, 2)",3.852417926573573e-05
27513,"(2, 0, 3)",7.075932193403084e-05
27519,"(0, 0, 2)",3.874930942525874e-05
27560,"(1, 0, 2)",3.272008488323506e-05
27587,"(1, 0, 2)",5.589141317101714e-05
27603,"(0, 0, 4)",8.597578071948649e-05
27604,"(1, 0, 2)",3.8817205765880617e-05
27610,"(1, 0, 2)",3.4624608378385104e-05
27616,"(1, 0, 2)",3.585026786284009e-05
27703,"(1, 0, 2)",4.8729080158989764e-05
27858,"(0, 0, 3)",0.00010198659280260016
28027,"(0, 0, 4)",3.702871074428679e-05
28031,"(0, 0, 3)",0.00010345517665230093
28078,"(1, 0, 2)",2.6162034041220297e-05
28117,"(0, 0, 3)",3.98316646384867e-05
28202,"(1, 0, 0)",0.00012267714714885353
28205,"(3, 0, 2)",5.139776681227119e-05
28208,"(1, 0, 3)",8.860903482702842e-05
28209,"(1, 0, 2)",6.343369684003614e-05
28210,"(2, 0, 2)",5.460230565530206e-05
28213,"(1, 0, 2)",3.613990441700622e-05
28214,"(0, 0, 3)",3.5579096657001047e-05
28215,"(1, 0, 2)",3.664650964539605e-05
28216,"(1, 0, 2)",3.600221658243433e-05
28227,"(1, 0, 2)",4.788023808783505e-05
28262,"(0, 0, 3)",5.349491212519402e-05
28269,"(1, 0, 2)",1.9388286437195006e-05
28273,"(2, 0, 3)",4.1657042603728126e-05
28277,"(1, 0, 2)",2.7093072574091196e-05
28278,"(1, 0, 3)",3.692829528026921e-05
28311,"(1, 0, 2)",6.243133119694701e-05
28314,"(1, 0, 0)",6.262244221728216e-05
28401,"(0, 0, 3)",0.00016440144477844379
28403,"(0, 0, 3)",0.00033085310721825623
28546,"(3, 0, 4)",4.6939099112245286e-05
29072,"(0, 0, 3)",0.00010348808309885941
29205,"(0, 0, 4)",0.00011423018131180922
29209,"(0, 0, 0)",0.00010200244194585036
29229,"(1, 0, 2)",4.033371370774625e-05
29412,"(3, 0, 0)",0.0003478909482453244
29414,"(0, 0, 4)",8.494167307489393e-05
29445,"(3, 0, 2)",6.649306844604011e-05
29485,"(2, 0, 2)",8.564283827593438e-05
29681,"(0, 0, 3)",4.023495776322234e-05
30004,"(2, 0, 3)",5.2201259643695084e-05
30016,"(1, 0, 2)",4.19805396793061e-05
30019,"(0, 0, 3)",4.92426330186528e-05
30022,"(4, 0, 0)",4.269435435351286e-05
30024,"(0, 0, 2)",4.378265594032056e-05
30032,"(1, 0, 3)",5.539679711940213e-05
30034,"(1, 0, 2)",6.064208766250522e-05
30035,"(1, 0, 3)",0.00017848312015218093
30038,"(2, 0, 4)",4.6955507494370814e-05
30039,"(4, 0, 4)",5.6848368855049276e-05
30040,"(1, 0, 2)",4.600229547598547e-05
30041,"(1, 0, 2)",5.6282533065059854e-05
30043,"(1, 0, 2)",4.415539393692331e-05
30044,"(1, 0, 2)",3.299887181521205e-05
30046,"(2, 0, 3)",9.218782811149807e-05
30052,"(2, 0, 2)",4.8476047721466266e-05
30058,"(0, 0, 3)",3.3165172483849955e-05
30062,"(1, 0, 2)",6.891338617842495e-05
30064,"(0, 0, 3)",0.00011149005139027323
30067,"(1, 0, 2)",6.115398724128939e-05
30078,"(0, 0, 3)",7.727065513027075e-05
30080,"(2, 0, 2)",6.326856230057862e-05
30083,"(3, 0, 2)",0.00012103345042253303
30088,"(1, 0, 2)",0.00011891134554982819
30101,"(1, 0, 2)",5.470741439535566e-05
30114,"(1, 0, 2)",4.988966378816987e-05
30127,"(2, 0, 2)",4.5999064995425116e-05
30134,"(3, 0, 2)",0.0001323428392673508
30144,"(3, 0, 4)",6.101813446274025e-05
30152,"(2, 0, 2)",0.00015208627197422356
30188,"(4, 0, 0)",5.693856534673606e-05
30213,"(1, 0, 4)",4.612614794530676e-05
30228,"(0, 0, 4)",4.892673712417498e-05
30236,"(0, 0, 3)",0.0001243881772927432
30238,"(2, 0, 2)",9.821972480916857e-05
30253,"(0, 0, 3)",5.420644674486165e-05
30263,"(3, 0, 3)",8.444102596053041e-05
30265,"(1, 0, 2)",8.32681992328497e-05
30274,"(3, 0, 3)",6.740883604729e-05
30281,"(1, 0, 2)",4.2869786575516945e-05
30294,"(0, 0, 3)",7.926754426971628e-05
30309,"(1, 0, 2)",4.443901532269875e-05
30315,"(0, 0, 4)",0.00017489812247838536
30316,"(1, 0, 2)",0.00012041301635854756
30318,"(2, 0, 2)",5.8838450194313375e-05
30319,"(1, 0, 2)",4.864305266600183e-05
30331,"(0, 0, 3)",7.586115659383039e-05
30349,"(1, 0, 4)",2.7476614851472744e-05
30519,"(0, 0, 3)",2.6960634133541023e-05
30605,"(2, 0, 3)",0.0001383231220870685
30813,"(1, 0, 2)",2.6293720426718428e-05
30909,"(1, 0, 3)",5.60680259270742e-05
31322,"(2, 0, 4)",6.488736143333844e-05
31401,"(0, 0, 3)",9.49630190708455e-05
31419,"(1, 0, 3)",8.222094438860074e-05
31904,"(2, 0, 2)",0.0001118599479199815
32003,"(0, 0, 2)",0.00013357728560095406
32065,"(1, 0, 2)",4.674803714788126e-05
32073,"(2, 0, 2)",7.132342464708824e-05
32082,"(2, 0, 2)",0.00011276987908770589
32092,"(1, 0, 2)",8.1426725709297e-05
32164,"(2, 0, 2)",4.021836068776607e-05
32205,"(2, 0, 2)",9.609038685919742e-05
32207,"(1, 0, 3)",7.383590831819393e-05
32209,"(0, 0, 4)",0.00016180479273344108
32210,"(1, 0, 2)",4.3937390614200805e-05
32211,"(1, 0, 4)",0.000171888871035406
32216,"(2, 0, 3)",4.993840594975192e-05
32218,"(0, 0, 3)",2.711074472731627e-05
32224,"(2, 0, 2)",5.587289804763755e-05
32225,"(1, 0, 2)",3.4766313705607056e-05
32244,"(1, 0, 2)",2.5308846394323158e-05
32246,"(0, 0, 2)",3.968403356557828e-05
32250,"(0, 0, 3)",9.485240941585604e-05
32257,"(2, 0, 2)",8.77280713906335e-05
32259,"(0, 0, 3)",3.8153156047479834e-05
32301,"(1, 0, 3)",7.87929391985905e-05
32304,"(1, 0, 3)",0.00016828163811738274
32507,"(0, 0, 3)",8.513717235258497e-05
32547,"(2, 0, 3)",4.687702589936841e-05
32608,"(4, 0, 0)",6.356158308454683e-05
32701,"(2, 0, 2)",6.475388391953695e-05
32703,"(1, 0, 2)",4.53201743405407e-05
32707,"(2, 0, 2)",6.947343228675516e-05
32708,"(1, 0, 2)",5.5471057450615504e-05
32712,"(0, 0, 4)",7.707833235478993e-05
32714,"(1, 0, 2)",5.5968890388842256e-05
32725,"(1, 0, 2)",6.492773911022593e-05
32738,"(1, 0, 3)",6.965814194044097e-05
32746,"(0, 0, 4)",7.570621811630736e-05
32750,"(0, 0, 4)",0.00010090017250409063
32751,"(0, 0, 3)",6.642426258914907e-05
32765,"(2, 0, 2)",4.6758343508184186e-05
32771,"(1, 0, 2)",4.047055673555864e-05
32789,"(0, 0, 4)",0.00010350257679078728
32792,"(0, 0, 3)",5.550508139034266e-05
32801,"(2, 0, 2)",7.260191751340735e-05
32803,"(1, 0, 2)",8.586638501836485e-05
32804,"(2, 0, 2)",0.00011617026170230084
32806,"(2, 0, 2)",5.9449341007988916e-05
32810,"(0, 0, 4)",0.00010125627494127605
32811,"(0, 0, 3)",7.965639873401333e-05
32817,"(1, 0, 3)",9.011830072553468e-05
32819,"(0, 0, 4)",0.00010567995988711907
32822,"(1, 0, 4)",4.311281935977671e-05
32824,"(1, 0, 2)",5.41170687051967e-05
32825,"(0, 0, 3)",5.429166720912401e-05
32826,"(0, 0, 3)",8.458654627255767e-05
32828,"(1, 0, 4)",3.6051122364973634e-05
32832,"(1, 0, 3)",6.811116966512758e-05
32835,"(2, 0, 2)",5.296846068587389e-05
32837,"(1, 0, 2)",5.8254912614149116e-05
32839,"(0, 0, 2)",6.695912880222455e-05
32907,"(1, 0, 2)",6.269057957569065e-05
32935,"(1, 0, 2)",6.88243445702071e-05
32940,"(1, 0, 2)",3.7227406124278116e-05
32955,"(2, 0, 2)",0.00012787855463956542
33015,"(4, 0, 2)",6.640053575537125e-05
33021,"(0, 0, 3)",8.803797085664728e-05
33027,"(1, 0, 4)",4.829252007431563e-05
33033,"(1, 0, 4)",8.021197427631629e-05
33062,"(2, 0, 2)",0.00015527376048416605
33064,"(1, 0, 2)",0.00010803846917517195
33065,"(2, 0, 1)",0.00010732139583838826
33068,"(1, 0, 2)",6.818334376487706e-05
33073,"(1, 0, 2)",7.201327754138883e-05
33131,"(1, 0, 4)",3.257606220153279e-05
33133,"(4, 0, 3)",0.0002333243617050399
33137,"(1, 0, 4)",4.962649117702593e-05
33138,"(3, 0, 2)",0.00018164557780873952
33139,"(1, 0, 4)",4.573419283528481e-05
33140,"(1, 0, 4)",0.00014676253475560656
33143,"(3, 0, 2)",0.00012046781689582653
33145,"(2, 0, 2)",0.00018519628449642698
33157,"(1, 0, 4)",0.00012248696693916564
33160,"(1, 0, 4)",7.60594461412274e-05
33161,"(4, 0, 0)",0.0003088231484211252
33162,"(2, 0, 2)",0.0001794286314099265
33181,"(0, 0, 3)",0.00014204626629913254
33196,"(1, 0, 3)",9.149484344040496e-05
33301,"(1, 0, 2)",8.177957930203118e-05
33304,"(1, 0, 2)",9.29484737464195e-05
33305,"(1, 0, 2)",0.0002535496942843053
33308,"(0, 0, 4)",7.69537833969312e-05
33309,"(2, 0, 2)",5.5468160773959777e-05
33311,"(0, 0, 3)",8.784775852603961e-05
33312,"(1, 0, 0)",0.00019296051973374744
33313,"(4, 0, 3)",0.0001225034135783738
33314,"(3, 0, 0)",0.00013897565214447474
33316,"(1, 0, 3)",0.00011768743346399204
33328,"(2, 0, 2)",0.00010157738430700495
33334,"(2, 0, 2)",0.00012821847252650196
33401,"(1, 0, 2)",0.0001345362297613796
33404,"(3, 0, 0)",0.00022681521857336427
33409,"(1, 0, 2)",6.10518063519642e-05
33410,"(1, 0, 4)",8.588464711699845e-05
33411,"(1, 0, 2)",5.927836518003555e-05
33414,"(4, 0, 4)",0.00018955858617772123
33418,"(4, 0, 0)",0.00030020161951671055
33428,"(2, 0, 3)",6.241745401892345e-05
33431,"(4, 0, 4)",0.0001315764735945884
33432,"(2, 0, 2)",8.272693153083675e-05
33433,"(2, 0, 4)",7.980303694161362e-05
33435,"(2, 0, 2)",0.0001663537665875616
33442,"(1, 0, 0)",0.00029883803322456725
33444,"(1, 0, 2)",0.0001992044496528403
33458,"(1, 0, 2)",0.00010038152827514676
33460,"(0, 0, 0)",0.0002809842427768089
33487,"(0, 0, 0)",0.0002512298296191441
33496,"(1, 0, 2)",0.00019316784402992262
33510,"(2, 0, 2)",0.00010182305960522098
33543,"(0, 0, 3)",7.168795372229571e-05
33544,"(0, 0, 3)",7.251839852296464e-05
33547,"(1, 0, 2)",0.00010881681132458683
33569,"(2, 0, 3)",5.60623903185393e-05
33570,"(0, 0, 4)",0.00017037322394443483
33572,"(1, 0, 3)",0.00011164939598884207
33578,"(2, 0, 2)",4.273305860118675e-05
33579,"(1, 0, 2)",6.601833941079777e-05
33594,"(0, 0, 2)",4.9469109571227515e-05
33596,"(2, 0, 1)",0.00013404629424297132
33604,"(0, 0, 3)",8.175672238937604e-05
33606,"(2, 0, 2)",6.437051982211396e-05
33607,"(0, 0, 3)",9.10081239659757e-05
33609,"(2, 0, 2)",0.00010056666582675014
33610,"(2, 0, 2)",9.248010121666205e-05
33611,"(1, 0, 2)",5.94490060363475e-05
33615,"(4, 0, 0)",0.00010609686674818606
33617,"(1, 0, 3)",8.92694256801742e-05
33619,"(1, 0, 2)",9.312645918638408e-05
33624,"(1, 0, 2)",8.963751540693962e-05
33626,"(2, 0, 2)",6.019629197541849e-05
33629,"(0, 0, 3)",0.00015799886970094019
33701,"(2, 0, 2)",7.990403378189643e-05
33705,"(2, 0, 2)",0.0001476734978820218
33756,"(1, 0, 2)",0.00011467209601977129
33810,"(0, 0, 3)",8.791995288553806e-05
33837,"(2, 0, 2)",0.00010452816407551712
33884,"(2, 0, 2)",0.00010645157864242781
33897,"(0, 0, 4)",0.00021639659592566197
33904,"(2, 0, 2)",0.0001805733851470211
33909,"(1, 0, 2)",0.00013315751920837552
33914,"(2, 0, 2)",0.00012496064202865387
34104,"(0, 0, 3)",0.0002770555101105618
34108,"(1, 0, 2)",0.0004145388202373614
34119,"(4, 0, 0)",0.00032686117392905515
34231,"(3, 0, 2)",0.00022710173862889327
34238,"(2, 0, 2)",0.00018366135573549933
34243,"(1, 0, 3)",0.0001975836881237811
34683,"(0, 0, 4)",0.00014957574195290752
34698,"(2, 0, 2)",0.00011321989542805313
34711,"(2, 0, 2)",4.312057262579053e-05
34741,"(0, 0, 3)",7.30047848819298e-05
34744,"(2, 0, 2)",8.978514869598794e-05
34746,"(0, 0, 3)",7.08880928147993e-05
34747,"(1, 0, 2)",8.585139372609704e-05
34758,"(2, 0, 2)",8.543989009591114e-05
34759,"(4, 0, 0)",9.831812035454746e-05
34787,"(0, 0, 4)",4.1599690502752706e-05
